pieza;programa_numero;programa_nombre;tipo_programa
Seniores Populi;1;Responsorios de Tinieblas;Religioso
Ecce Quomodo Moritur Iustus;1;Responsorios de Tinieblas;Religioso
Ecce Quomodo Moritur Iustus;2;Responsorios de Tinieblas (Selección);Religioso
Dín Dirín Dín;7;¡Gaudete, Christus est natus!;Navideño
Freut Euch, Ihr Lieben Christen;4;In dulci jubilo;Navideño
Marcha (Funeral Queen Mary);3;Polifonía religiosa;Religioso
Man That is Born of a Woman;3;Polifonía religiosa;Religioso
Canzona (Funeral Sentences);3;Polifonía religiosa;Religioso
Thou Knowest Lord the Secrets of Our Hearts;3;Polifonía religiosa;Religioso
In the Midst of Life;3;Polifonía religiosa;Religioso
Benedictus (Missa Brevis);4;Ascetismo y sobriedad: el espíritu de la Contrarreforma en España e Italia;Religioso
Man That is Born of a Woman;6;Concierto sacro;Religioso
Thou Knowest Lord;6;Concierto sacro;Religioso
Capilla: Pasión;7;Tenebrae factae sunt;Religioso
Capilla: Via Crucis;7;Tenebrae factae sunt;Religioso
Capilla: Sagrada Mortaja;7;Tenebrae factae sunt;Religioso
Capilla: Primera Saeta del Silencio;7;Tenebrae factae sunt;Religioso
Hanacpachap Cussicuinim;10;Pro Vobis Tradetur;Religioso
Ave Maria (T. L. de Victoria);10;Pro Vobis Tradetur;Religioso
O Salutaris Hostia;10;Pro Vobis Tradetur;Religioso
Ave Maria (Arcadelt);10;Pro Vobis Tradetur;Religioso
Thou Knowest Lord;11;O quam gloriosum est regnum;Religioso
If Ye Love Me;11;O quam gloriosum est regnum;Religioso
Deposuit Potentes;9;In harmoniam coelestem;Religioso
Fantasía Que Se Sigue;9;In harmoniam coelestem;Religioso
Pleni de la Missa Faysant Regrets;9;In harmoniam coelestem;Religioso
Christe de la Missa Si Dedero;9;In harmoniam coelestem;Religioso
View Me, Lord of Thine;9;In harmoniam coelestem;Religioso
Seek the Lord;9;In harmoniam coelestem;Religioso
Cum Sancto Spiritu (Missa Sine Nomine);9;In harmoniam coelestem;Religioso
Diferencias sobre O gloriosa Domina;9;In harmoniam coelestem;Religioso
O gloriosa Domina;9;In harmoniam coelestem;Religioso
Zagaleja de lo Verde;1;Música profana del Renacimiento;Profano
Ninot le Petit;1;Música profana del Renacimiento;Profano
Pavane (Arbeau/Attaignant);1;Música profana del Renacimiento;Profano
