update_date,period,group_num,group_name,number,parent_number,is_collection,title,composer,composer_inherited,arranger,voices,voices_inherited,note,page,raw_text
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,101,,1,De la misa “Ave Maris Stella” a 4 v.m. de T. L. de Victoria,T. L. de Victoria,T. L. de Victoria,,,,,1,De la misa “Ave Maris Stella” a 4 v.m. de T. L. de Victoria:
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,101.1,101,0,Kyrie,,T. L. de Victoria,,,,,1,Kyrie
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,101.2,101,0,Sanctus,,T. L. de Victoria,,,,,1,Sanctus
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,101.3,101,0,Agnus Dei,,T. L. de Victoria,,,,,1,Agnus Dei
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102,,1,Tenebrae Responsories de T. L. de Victoria,T. L. de Victoria,T. L. de Victoria,,,,,1,Tenebrae Responsories de T. L. de Victoria:
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.1,102,1,Jueves Santo,,T. L. de Victoria,,,,,1,Jueves Santo:
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.1.1,102.1,0,Amicus Meus,,T. L. de Victoria,,4 v.m.,4 v.m.,,1,Amicus Meus (4 v.m.)
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.1.2,102.1,0,Iudas Mercator Pessimus,,T. L. de Victoria,,SSCT,SSCT,,1,Iudas Mercator Pessimus (SSCT)
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.1.3,102.1,0,Unus Ex Discipulis Meis,,T. L. de Victoria,,4 v.m.,4 v.m.,,1,Unus Ex Discipulis Meis (4 v.m.)
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.1.4,102.1,0,Eram Quasi Agnus,,T. L. de Victoria,,4 v.m.,4 v.m.,,1,Eram Quasi Agnus (4 v.m.)
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.1.5,102.1,0,Una Hora,,T. L. de Victoria,,SSCT,SSCT,,1,Una Hora (SSCT)
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.1.6,102.1,0,Seniores Populi,,T. L. de Victoria,,4 v.m.,4 v.m.,,1,Seniores Populi (4 v.m.)
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.2,102,1,Viernes Santo,,T. L. de Victoria,,,,,1,Viernes Santo:
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.2.1,102.2,0,Tamquam Ad Latronem,,T. L. de Victoria,,,,,1,Tamquam Ad Latronem
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.2.2,102.2,0,Tenebrae Factae Sunt,,T. L. de Victoria,,TTBrB,TTBrB,,1,Tenebrae Factae Sunt (TTBrB)
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.2.3,102.2,0,Animam Meam Dilectam,,T. L. de Victoria,,,,,1,Animam Meam Dilectam
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.2.4,102.2,0,Tradiderunt Me,,T. L. de Victoria,,,,,1,Tradiderunt Me
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.2.5,102.2,0,Iesum Tradidit Impius,,T. L. de Victoria,,SSCT,SSCT,,1,Iesum Tradidit Impius (SSCT)
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.2.6,102.2,0,Caligaverunt Oculi Mei,,T. L. de Victoria,,,,,1,Caligaverunt Oculi Mei
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.3,102,1,Sábado Santo,,T. L. de Victoria,,,,,1,Sábado Santo:
2025-01-09,Polifonía Del Renacimiento,1,OBRAS RELIGIOSAS,102.3.1,102.3,0,Recessit Pastor Noster,,T. L. de Victoria,,,,,1,Recessit Pastor Noster
